Country Name,Country Code,1991,2017
China,CHN,1150780000,1386395000
India,IND,888054875,1339180127
United States,USA,252981000,325719178
Indonesia,IDN,184615979,263991379
Brazil,BRA,151976577,209288278
Pakistan,PAK,110730420,197015955
Nigeria,NGA,97726323,190886311
Bangladesh,BGD,108727432,164669751
Russian Federation,RUS,148624000,144495044
Mexico,MEX,87071512,129163276
Japan,JPN,123921000,126785797
Ethiopia,ETH,49821083,104957438
Philippines,PHL,63508459,104918090
Central Europe and the Baltics,CEB,110290445,102727102
"Egypt, Arab Rep.",EGY,58752390,97553151
Vietnam,VNM,69670902,95540800
Germany,DEU,80013896,82695000
"Congo, Dem. Rep.",COD,35914825,81339988
"Iran, Islamic Rep.",IRN,57375584,81162788
Turkey,TUR,54840531,80745020
Thailand,THA,57258401,69037513
France,FRA,58559311,67118648
United Kingdom,GBR,57424897,66022273
Italy,ITA,56758521,60551416
Tanzania,TZA,26315013,57310019
South Africa,ZAF,38437855,56717156
Myanmar,MMR,41190156,53370609
"Korea, Rep.",KOR,43295704,51466201
Kenya,KEN,24179598,49699862
Colombia,COL,34916766,49065615
Spain,ESP,38966376,46572028
Ukraine,UKR,52000470,44831159
Argentina,ARG,33193918,44271041
Uganda,UGA,18040438,42862958
Algeria,DZA,26554329,41318142
Sudan,SDN,20893625,40533330
Small states,SST,25642376,40324496
Iraq,IRQ,17942715,38274618
Poland,POL,38246193,37975841
Canada,CAN,28171682,36708083
Morocco,MAR,25336862,35739580
Afghanistan,AFG,12993657,35530081
Saudi Arabia,SAU,16867829,32938213
Uzbekistan,UZB,20952000,32387200
Peru,PER,22283128,32165485
"Venezuela, RB",VEN,20332079,31977065
Malaysia,MYS,18529454,31624264
Other small states,OSS,17850910,30621014
Angola,AGO,12553446,29784193
Mozambique,MOZ,13591970,29668834
Nepal,NPL,19245054,29304998
Ghana,GHA,15039514,28833629
"Yemen, Rep.",YEM,12661614,28250420
Madagascar,MDG,11942819,25570895
"Korea, Dem. People’s Rep.",PRK,20609150,25490965
Australia,AUS,17284000,24598933
Cote d'Ivoire,CIV,12710008,24294750
Cameroon,CMR,12060729,24053727
Niger,NER,8272976,21477348
Sri Lanka,LKA,17539633,21444000
Romania,ROU,23001155,19586539
Burkina Faso,BFA,9050084,19193382
Malawi,MWI,9641153,18622104
Mali,MLI,8652514,18541980
Syrian Arab Republic,SYR,12815219,18269868
Chile,CHL,13457244,18054726
Kazakhstan,KAZ,16450500,18037646
Netherlands,NLD,15069798,17132854
Zambia,ZMB,8239732,17094130
Guatemala,GTM,9483270,16913503
Ecuador,ECU,10460990,16624858
Zimbabwe,ZWE,10443043,16529904
Cambodia,KHM,9286976,16005373
Senegal,SEN,7789653,15850567
Chad,TCD,6150081,14899994
Somalia,SOM,7455936,14742523
Guinea,GIN,6374329,12717176
South Sudan,SSD,5705378,12575714
Rwanda,RWA,7051759,12208407
Tunisia,TUN,8417684,11532127
Cuba,CUB,10663585,11484636
Belgium,BEL,10004486,11372068
Benin,BEN,5149499,11175692
Bolivia,BOL,6992521,11051600
Haiti,HTI,7243391,10981229
Burundi,BDI,5542048,10864245
Dominican Republic,DOM,7325622,10766998
Greece,GRC,10319927,10760421
Czech Republic,CZE,10308578,10591323
Portugal,PRT,9960235,10293718
Sweden,SWE,8617375,10067744
Azerbaijan,AZE,7271000,9862429
Hungary,HUN,10373400,9781127
Jordan,JOR,3753433,9702353
Belarus,BLR,10194000,9507875
United Arab Emirates,ARE,1970026,9400145
Honduras,HND,5099951,9265067
Tajikistan,TJK,5400714,8921343
Austria,AUT,7754891,8809212
Israel,ISR,4949000,8712400
Switzerland,CHE,6799978,8466017
Papua New Guinea,PNG,4423007,8251162
Togo,TGO,3882271,7797694
Sierra Leone,SLE,4337239,7557212
"Hong Kong SAR, China",HKG,5752000,7391700
Caribbean small states,CSS,6070204,7284294
Bulgaria,BGR,8632367,7075991
Serbia,SRB,7595636,7022268
Lao PDR,LAO,4380073,6858160
Paraguay,PRY,4323410,6811297
El Salvador,SLV,5326657,6377853
Libya,LBY,4544293,6374616
Nicaragua,NIC,4236801,6217581
Kyrgyz Republic,KGZ,4463600,6201500
Lebanon,LBN,2752462,6082357
Denmark,DNK,5154298,5769603
Turkmenistan,TKM,3789185,5758075
